claim_id,source_artifact,evidence_role,primary_metrics,result_summary,support_level,caveat,allowed_use,not_allowed
JSS-C1,business_workflow_service_v3,core_service_workflow,"cascade_failed,wasted_service_ms","At C=100,F=0.2 adaptive vs no-capacity delta cascade=-31.800000 CI[-43.600000,-20.000000], wasted_ms=-544149.140000 CI[-673121.020000,-414984.420000].",strong,Raw workflow_success_rate can be lower under admission control; this claim is about waste/cascade governance.,Use as the main JSS service-governance result.,Do not claim raw-success dominance.
JSS-C2,business_workflow_service_v3,core_recovery,"react_recovered_success,avoided_replay_steps","At C=100,F=0.2 recovery vs adaptive delta recovered=2.400000 CI[0.800000,4.000000], avoided=10.000000 CI[1.600000,19.600000].",strong,Client-cooperative recovery resumes from checkpoints; it does not auto-execute future tools.,Use as the main ReAct recovery effectiveness result.,Do not claim transparent server-side replay.
JSS-C3,operator_overhead_v1,deployability_overhead,"p95_ms,throughput_workflows_s","C=100 adaptive vs baseline p95 delta=-6.368800 CI[-10.738800,-0.681800], throughput delta=-0.880820 CI[-19.243240,17.019480].",moderate,"Baseline is the same gateway/proxy path, not direct-to-backend.",Use as bounded steady-state overhead evidence.,Do not claim recovery effectiveness from this failure-free artifact.
JSS-C4,config_sensitivity_v1,configuration_sensitivity,"react_recovered_success,cascade_failed,wasted_service_ms","Strict-vs-default recovery sensitivity at C=100,F=0.2 recovered delta=-1.666667 CI[-3.000000,0.000000].",moderate,"Sensitivity supports qualitative robustness, not an optimal parameter setting.",Use to show signals persist under moderate governance-intensity perturbations.,Do not select a best configuration from this artifact.
JSS-C5,recovery_protocol_edge_cases_v1,protocol_usability,"passed_bool,duplicate_side_effect,auto_executed_future_tool_bool",11/11 declared recovery protocol edge cases passed.,strong_protocol,Deterministic protocol harness; not a performance experiment.,Use as recovery API usability and safety-boundary evidence.,Do not use as throughput or real-LLM performance evidence.
JSS-C6,architecture_component_ablation_v1,architecture_mapping,"component_present,evidence_record_count",9 architecture components mapped to 18 evidence records.,strong_mapping,"Evidence synthesis, not a newly executed performance experiment.",Use to organize architecture rationale and failure-mode mapping.,Do not claim every component improves raw success.
JSS-C7,vllm_react_recovery_arm_v2,real_backend_recovery,"react_recovered_success,avoided_replay_steps,continued_after_resume","vLLM recovery arm C=2 recovery vs adaptive recovered delta=9.333333 CI[8.000000,10.000000].",strong,Hybrid DeepSeek agent brain plus local Qwen vLLM backend; targeted recovery arm.,Use as real-backend recovery feasibility evidence.,Do not merge with full-vLLM natural recovery claims.
JSS-C8,cloud_backend_smoke_v1,provider_boundary,"success,cascade_failed,backend_llm_tokens",Cloud backend smoke no-capacity vs adaptive success delta=7.000000 (descriptive single-repeat boundary).,diagnostic,Single-repeat provider smoke; provider elasticity can invert the admission trade-off.,Use as provider-boundary interpretation.,Do not use as global policy ranking.
JSS-C9,cloudlab_random_redis_memory_v1,distributed_state_diagnostic,"state_miss,duplicate_admission","CloudLab Redis vs memory state_miss delta=-3271.000000 CI[-3330.000000,-3215.000000].",strong_diagnostic,Shared-state correctness diagnostic only.,Use as distributed shared-state support.,Do not claim production Redis HA.
JSS-C10,mcpbench_smoke_v3,workflow_shape_smoke,"selected_task_count,all_client_rc_zero",MCP-Bench-derived smoke selected 30 tasks with validation errors=[].,diagnostic,Metadata-derived single-machine workflow-shape smoke.,Use as compatibility/workflow-shape diversity evidence.,Do not claim full MCP-Bench deployment or model accuracy.
