layer,variant,backend,model,agents,sessions,concurrency,repeat,max_steps,burst_size,burst_gap_s,session_mix_ps,session_mix_react,session_cap,react_step0_limit,adaptive_green_wait_ms,adaptive_yellow_wait_ms,adaptive_red_wait_ms,enable_recovery,react_recovery,disable_capacity_step0,synthetic_recoverable_failure,recoverable_failure_rate,success,partial,rejected,cascade_failed,abd_total,abd_ps,abd_react,rejected_s0_total,rejected_s0_budget,rejected_s0_capacity,rejected_s0_security,rejected_s0_adaptive_red,react_recovery_attempts,react_recovered_success,react_recovery_rejected_nonrecoverable,avoided_replay_steps,duplicate_side_effect,effective_goodput_s,p95_ms,adaptive_green_count,adaptive_yellow_count,adaptive_red_count,client_rc,client_timed_out,error
mock_full,plangate_strict,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,19,0,278,3,2245,1096,1149,278,128,150,0,0,0,0,0,0,0,2.253,1072.797,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,21,0,276,3,2228,1192,1036,276,142,134,0,0,0,0,0,0,0,2.4763,1072.66,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,40,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,19,0,276,5,2243,1200,1043,276,150,126,0,0,0,0,0,0,0,2.2562,1085.446,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,4,0,276,20,2302,1179,1123,276,134,142,0,0,0,0,0,0,0,0.4819,1062.918,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,5,0,276,19,2310,1301,1009,276,151,125,0,0,0,0,0,0,0,0.6016,1081.185,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,40,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,1,0,276,23,2333,1107,1226,276,126,150,0,0,0,0,0,0,0,0.1201,1086.472,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,20,0,276,4,2236,1175,1061,276,124,152,0,0,0,0,0,0,0,2.3452,1095.246,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,16,0,278,6,2266,1119,1147,278,128,150,0,0,0,0,0,0,0,1.8873,1094.532,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,20,0,276,4,2236,1160,1076,276,141,135,0,0,0,0,0,0,0,2.3437,1106.752,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,5,0,279,16,2308,1149,1159,279,121,158,0,0,0,0,0,0,0,0.5935,1086.448,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,4,0,278,18,2328,1182,1146,278,136,142,0,0,0,0,0,0,0,0.4755,1081.428,0,0,0,0,0,
mock_full,plangate_strict,sterile_mock,mock,0,300,80,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,6,0,278,16,2306,1236,1070,278,112,166,0,0,0,0,0,0,0,0.711,1079.555,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,21,0,276,3,2229,1096,1133,276,130,146,0,0,0,0,0,0,0,2.4679,1086.7,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,22,0,276,2,2222,1223,999,276,146,130,0,0,0,0,0,0,0,2.5939,1076.883,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,18,0,277,5,2251,1191,1060,277,136,141,0,0,0,0,0,0,0,2.1266,1071.614,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,3,0,276,21,2306,1159,1147,276,141,135,0,0,0,0,0,0,0,0.3613,1060.0,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,6,0,276,18,2301,1304,997,276,151,125,0,0,0,0,0,0,0,0.7143,1077.704,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,40,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,0,0,276,24,2331,1094,1237,276,128,148,0,0,0,0,0,0,0,0.0,1090.688,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,18,0,276,6,2250,1207,1043,276,149,127,0,0,0,0,0,0,0,2.1174,1088.197,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,19,0,276,5,2243,1096,1147,276,121,155,0,0,0,0,0,0,0,2.2326,1101.099,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.0,17,0,276,7,2257,1192,1065,276,146,130,0,0,0,0,0,0,0,2.0023,1084.185,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,0,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,5,0,277,18,2308,1162,1146,277,137,140,0,0,0,0,0,0,0,0.5954,1073.878,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,1,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,3,0,281,16,2334,1170,1164,281,137,144,0,0,0,0,0,0,0,0.3596,1068.379,0,0,0,0,0,
mock_full,plangate_adaptive,sterile_mock,mock,0,300,80,2,8,0,0,50,50,24,24,200,50,0,False,False,False,False,0.2,6,0,279,15,2303,1251,1052,279,127,152,0,0,0,0,0,0,0,0.7131,1085.66,0,0,0,0,0,
mock_full,plangate_no_capacity_step0,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,True,False,0.0,15,0,253,32,2213,1088,1125,253,122,131,0,0,0,0,0,0,0,0.4006,1148.49,0,0,0,0,13,
mock_full,plangate_no_capacity_step0,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,True,False,0.0,16,0,272,12,2244,1243,1001,272,151,121,0,0,0,0,0,0,0,0.427,1073.969,0,0,0,0,4,
mock_full,plangate_no_capacity_step0,sterile_mock,mock,0,300,40,2,8,0,0,50,50,24,24,200,50,0,False,False,True,False,0.0,12,0,266,22,2268,1204,1064,266,140,126,0,0,0,0,0,0,0,0.3202,1088.746,0,0,0,0,10,
mock_full,plangate_no_capacity_step0,sterile_mock,mock,0,300,40,0,8,0,0,50,50,24,24,200,50,0,False,False,True,False,0.2,2,0,265,33,2298,1174,1124,265,137,128,0,0,0,0,0,0,0,0.0534,1107.316,0,0,0,0,9,
mock_full,plangate_no_capacity_step0,sterile_mock,mock,0,300,40,1,8,0,0,50,50,24,24,200,50,0,False,False,True,False,0.2,4,0,266,30,2291,1304,987,266,155,111,0,0,0,0,0,0,0,0.1067,1069.164,0,0,0,0,6,
